U (54534.502200000003, 18.184128026071448, 0.049279086658107665)
U (54535.493399999999, 18.170235591776219, 0.049281663556462081)
U (54536.510300000002, 18.147902599387983, 0.049285563122850318)
U (54538.451500000003, 18.16175205356161, 0.049286835650088477)
U (54590.276400000002, 18.170537672569772, 0.049279738107615864)
U (54591.400199999996, 18.209999196772817, 0.049282300760163829)
U (54912.385499999997, 18.250439555205361, 0.049283943642794974)
U (55536.498699999996, 18.097509784535784, 0.049279772259808834)
U (55927.519800000002, 18.101149996774542, 0.049280421154157678)
U (56008.335800000001, 18.135442108913711, 0.049282267587282463)
U (56009.325100000002, 18.154067082989208, 0.049281951616409025)
U (56090.365899999997, 18.201211070335013, 0.049280395094254623)
U (56302.495199999998, 18.193426279176606, 0.049281488500868297)
B (54533.479899999998, 19.114193863051003, 0.063790258238799413)
B (54534.493900000001, 19.078154072276774, 0.063791523822699078)
B (54535.487300000001, 19.044721572857931, 0.063791410303568385)
B (54536.506300000001, 19.036414557721734, 0.063791995629545559)
B (54538.445200000002, 19.051193309459308, 0.063792431943722805)
B (54590.268199999999, 19.066731628630585, 0.063790713524953774)
B (54591.392099999997, 19.084529971114126, 0.063792146896215846)
B (54912.3796, 19.141568691765528, 0.063792698440427426)
B (55536.490899999997, 18.984279358821514, 0.063791248212715049)
B (55927.511899999998, 18.909520538589266, 0.06379079442429722)
B (56008.327799999999, 18.918772706483807, 0.063791304538572305)
B (56009.317199999998, 18.933245137424244, 0.063791363242424695)
B (56090.357799999998, 18.949118164940934, 0.063791013224777621)
B (56302.487099999998, 18.946297176384256, 0.063791572964120968)
V (54533.494200000001, 19.042447044884995, 0.057625685836138446)
V (54534.508600000001, 19.039154148360215, 0.057626641994210699)
V (54535.499499999998, 19.005583474066903, 0.05762612957386562)
V (54536.5101, 19.00887466149176, 0.057626884040168996)
V (54590.282500000001, 19.00276833219052, 0.057625567817916161)
V (54591.406300000002, 19.027583511544194, 0.057626330853556569)
V (54912.391600000003, 19.098897625750176, 0.057628053132796543)
V (55536.5046, 18.936411072019943, 0.05762662737284182)
V (55927.525800000003, 18.870381983544526, 0.057625694016555921)
V (56008.341899999999, 18.871008113001139, 0.0576261372448999)
V (56009.331100000003, 18.88252260926112, 0.057625894140438991)
V (56090.371800000001, 18.886812106256624, 0.057626033559776531)
V (56302.501199999999, 18.89732161768357, 0.057626523472032884)
R (54533.4856, 18.87519791058206, 0.047809491445574358)
R (54534.499900000003, 18.871091470957381, 0.047811426678011151)
R (54535.493199999997, 18.663868306053267, 0.047810090963053359)
R (54536.508099999999, 18.826217206079733, 0.047811310125528375)
R (54538.449200000003, 18.84970208561365, 0.04781290362556552)
R (54590.274299999997, 18.831430706870886, 0.047810090224648417)
R (54591.398099999999, 18.840990729359369, 0.047811664670476657)
R (54912.375399999997, 18.90643329255396, 0.047811852198618714)
R (55536.496700000003, 18.756275952674883, 0.047814842704939506)
R (55927.517399999997, 18.645799734513449, 0.047809992338026248)
R (56008.332399999999, 18.642134007895891, 0.047810149985876148)
R (56009.3226, 18.65575100503796, 0.047810137241928369)
R (56090.363100000002, 18.665049325645047, 0.047810088048025459)
R (56302.492899999997, 18.639836320129106, 0.047810596831171441)
