# mjd   U   error
54534.5022   19.4346   0.0222
54535.4934   19.3790   0.0222
54536.5103   19.4183   0.0223
54538.4515   19.4165   0.0223
54590.2764   19.4270   0.0222
54591.4002   19.4531   0.0222
54912.3855   19.4540   0.0223
55536.4987   19.1990   0.0222
55927.5198   19.0241   0.0222
56008.3358   19.0215   0.0222
56009.3251   19.0241   0.0222
56090.3659   19.0325   0.0222
56302.4952   19.0240   0.0222
