# mjd   V   error
54533.4942   19.0424   0.0576
54534.5086   19.0392   0.0576
54535.4995   19.0056   0.0576
54536.5101   19.0089   0.0576
54590.2825   19.0028   0.0576
54591.4063   19.0276   0.0576
54912.3916   19.0989   0.0576
55536.5046   18.9364   0.0576
55927.5258   18.8704   0.0576
56008.3419   18.8710   0.0576
56009.3311   18.8825   0.0576
56090.3718   18.8868   0.0576
56302.5012   18.8973   0.0576
