# mjd   V   error
54533.4942   20.2602   0.0352
54534.5086   20.2263   0.0352
54535.4995   20.1482   0.0352
54536.5101   20.2007   0.0352
54590.2825   20.2210   0.0352
54591.4063   20.2377   0.0352
54912.3916   20.2146   0.0352
55536.5046   19.8546   0.0352
55927.5258   19.6046   0.0352
56008.3419   19.5804   0.0352
56009.3311   19.5848   0.0352
56090.3718   19.5390   0.0352
56302.5012   19.7252   0.0352
