# mjd   R   error
54533.4856   18.8752   0.0478
54534.4999   18.8711   0.0478
54535.4932   18.6639   0.0478
54536.5081   18.8262   0.0478
54538.4492   18.8497   0.0478
54590.2743   18.8314   0.0478
54591.3981   18.8410   0.0478
54912.3754   18.9064   0.0478
55536.4967   18.7563   0.0478
55927.5174   18.6458   0.0478
56008.3324   18.6421   0.0478
56009.3226   18.6558   0.0478
56090.3631   18.6650   0.0478
56302.4929   18.6398   0.0478
