# mjd   U   error
54533.4860   -8.9080   0.2252
54534.5022   -8.9080   0.2252
54535.4934   -8.9080   0.2252
54536.5103   -8.9080   0.2252
54538.4515   -8.9080   0.2252
54590.2764   -8.9080   0.2252
54591.4002   -8.9080   0.2252
54912.3855   -8.9080   0.2252
55536.4987   -8.9080   0.2252
55927.5198   -8.9080   0.2252
56008.3358   -8.9080   0.2252
56009.3251   -8.9080   0.2252
56090.3659   -8.9080   0.2252
56302.4952   -8.9080   0.2252
