# mjd   U   error
54533.4860   19.5410   0.0386
54534.5022   19.5611   0.0386
54535.4934   19.5628   0.0386
54536.5103   19.5879   0.0387
54538.4515   19.5565   0.0387
54590.2764   19.6058   0.0386
54591.4002   19.6022   0.0386
54912.3855   19.5670   0.0386
55536.4987   19.5127   0.0386
55927.5198   19.5954   0.0386
56008.3358   19.5261   0.0386
56009.3251   19.5225   0.0386
56090.3659   19.4686   0.0386
56302.4952   19.5527   0.0386
