# mjd   R   error
54533.4856   -8.7280   0.0484
54534.4999   -8.7280   0.0484
54535.4913   -8.7280   0.0484
54536.5081   -8.7280   0.0484
54538.4492   -8.7280   0.0484
54590.2743   -8.7280   0.0484
54591.3981   -8.7280   0.0484
54912.3754   -8.7280   0.0484
55536.4967   -8.7280   0.0484
55927.5174   -8.7280   0.0484
56008.3324   -8.7280   0.0484
56009.3226   -8.7280   0.0484
56090.3631   -8.7280   0.0484
56302.4929   -8.7280   0.0484
