# mjd   B   error
54533.4799   -8.3330   0.0765
54534.4939   -8.3330   0.0765
54535.4853   -8.3330   0.0765
54536.5063   -8.3330   0.0765
54538.4432   -8.3330   0.0765
54590.2682   -8.3330   0.0765
54591.3921   -8.3330   0.0765
54912.3686   -8.3330   0.0765
55536.4909   -8.3330   0.0765
55927.5119   -8.3330   0.0765
56008.3278   -8.3330   0.0765
56009.3172   -8.3330   0.0765
56090.3578   -8.3330   0.0765
56302.4871   -8.3330   0.0765
