# mjd   U   error
54533.4860   19.9501   0.0303
54534.5022   19.9704   0.0303
54535.4934   19.8870   0.0303
54536.5103   19.9645   0.0304
54538.4515   19.9354   0.0304
54590.2764   19.8963   0.0303
54591.4002   19.9685   0.0303
54912.3855   19.7464   0.0303
55536.4987   19.6314   0.0303
55927.5198   19.3709   0.0302
56008.3358   19.3471   0.0303
56009.3251   19.3313   0.0302
56090.3659   19.3908   0.0302
56302.4952   19.4336   0.0302
