# mjd   R   error
54533.4856   28.3688   2.9012
54534.4999   nan   nan
54535.4913   25.8761   0.0301
54536.5081   25.8382   0.0301
54538.4492   nan   nan
54590.2743   25.8402   0.3717
54591.3981   25.7275   0.0301
54912.3754   nan   nan
55536.4967   24.3853   0.1439
55927.5174   26.9829   0.0305
56008.3324   26.8371   1.1108
56009.3226   nan   nan
56090.3631   nan   nan
56302.4929   nan   nan
