# mjd   U   error
54534.5022   -10.0030   0.0221
54535.4934   -10.0030   0.0221
54536.5103   -10.0030   0.0221
54538.4515   -10.0030   0.0221
54590.2764   -10.0030   0.0221
54591.4002   -10.0030   0.0221
54912.3855   -10.0030   0.0221
55536.4987   -10.0030   0.0221
55927.5198   -10.0030   0.0221
56008.3358   -10.0030   0.0221
56009.3251   -10.0030   0.0221
56090.3659   -10.0030   0.0221
56302.4952   -10.0030   0.0221
