# mjd   R   error
54533.4856   -9.5760   0.0228
54534.4999   -9.5760   0.0228
54535.4932   -9.5760   0.0228
54536.5081   -9.5760   0.0228
54538.4492   -9.5760   0.0228
54590.2743   -9.5760   0.0228
54591.3981   -9.5760   0.0228
54912.3754   -9.5760   0.0228
55536.4967   -9.5760   0.0228
55927.5174   -9.5760   0.0228
56008.3324   -9.5760   0.0228
56009.3226   -9.5760   0.0228
56090.3631   -9.5760   0.0228
56302.4929   -9.5760   0.0228
