# mjd   U   error
54533.4860   19.4247   0.3039
54534.5022   19.3778   0.3039
54535.4934   19.4011   0.3039
54536.5103   19.4125   0.3039
54538.4515   19.2391   0.3039
54590.2764   19.3976   0.3039
54591.4002   19.3124   0.3039
54912.3855   19.4388   0.3039
55536.4987   19.2929   0.3039
55927.5198   19.4014   0.3039
56008.3358   19.4740   0.3039
56009.3251   19.4502   0.3039
56090.3659   19.4195   0.3039
56302.4952   19.4108   0.3039
