# mjd   U   error
54534.5022   -9.0850   0.0672
54535.4934   -9.0850   0.0672
54536.5103   -9.0850   0.0672
54538.4515   -9.0850   0.0672
54590.2764   -9.0850   0.0672
54591.4002   -9.0850   0.0672
54912.3855   -9.0850   0.0672
55536.4987   -9.0850   0.0672
55927.5198   -9.0850   0.0672
56008.3358   -9.0850   0.0672
56009.3251   -9.0850   0.0672
56090.3659   -9.0850   0.0672
56302.4952   -9.0850   0.0672
