# mjd   B   error
54533.4799   22.1639   0.0878
54534.4939   22.1857   0.0879
54535.4853   22.1941   0.0878
54536.5063   22.1954   0.0879
54538.4432   22.1912   0.0879
54590.2682   22.2189   0.0878
54591.3921   22.2303   0.0879
54912.3686   22.2027   0.0879
55536.4909   22.0254   0.0879
55927.5119   22.2901   0.0878
56008.3278   22.2161   0.0879
56009.3172   22.2116   0.0879
56090.3578   22.2571   0.0879
56302.4871   22.3086   0.0879
