# mjd   V   error
54533.4942   nan   nan
54534.5086   nan   nan
54535.4995   26.1475   0.0102
54536.5101   nan   nan
54590.2825   28.8312   0.0216
54591.4063   25.6304   0.0101
54912.3916   nan   nan
55536.5046   nan   nan
55927.5258   27.4930   0.0116
56008.3419   nan   nan
56009.3311   nan   nan
56090.3718   26.0361   0.0101
56302.5012   25.9581   0.0101
