# mjd   B   error
54533.4799   -8.4420   0.0832
54534.4939   -8.4420   0.0832
54535.4853   -8.4420   0.0832
54536.5063   -8.4420   0.0832
54538.4432   -8.4420   0.0832
54590.2682   -8.4420   0.0832
54591.3921   -8.4420   0.0832
54912.3686   -8.4420   0.0832
55536.4909   -8.4420   0.0832
55927.5119   -8.4420   0.0832
56008.3278   -8.4420   0.0832
56009.3172   -8.4420   0.0832
56090.3578   -8.4420   0.0832
56302.4871   -8.4420   0.0832
