# mjd   V   error
54533.4942   -8.5100   0.0258
54534.5086   -8.5100   0.0258
54535.4995   -8.5100   0.0258
54536.5101   -8.5100   0.0258
54590.2825   -8.5100   0.0258
54591.4063   -8.5100   0.0258
54912.3916   -8.5100   0.0258
55536.5046   -8.5100   0.0258
55927.5258   -8.5100   0.0258
56008.3419   -8.5100   0.0258
56009.3311   -8.5100   0.0258
56090.3718   -8.5100   0.0258
56302.5012   -8.5100   0.0258
