# mjd   V   error
54533.4942   nan   nan
54534.5086   nan   nan
54535.4995   27.7634   1.2501
54536.5101   nan   nan
54590.2825   29.0914   3.5921
54591.4063   26.6143   0.4720
54912.3916   nan   nan
55536.5046   nan   nan
55927.5258   27.5125   0.0117
56008.3419   27.2462   0.8754
56009.3311   30.2185   12.8476
56090.3718   nan   nan
56302.5012   25.4425   0.1769
