# mjd   B   error
54533.4799   -6.9090   0.0210
54534.4939   -6.9090   0.0210
54535.4853   -6.9090   0.0210
54536.5092   -6.9090   0.0210
54538.4452   -6.9090   0.0210
54590.2682   -6.9090   0.0210
54591.3921   -6.9090   0.0210
54912.3796   -6.9090   0.0210
55536.4909   -6.9090   0.0210
55927.5119   -6.9090   0.0210
56008.3278   -6.9090   0.0210
56009.3172   -6.9090   0.0210
56090.3578   -6.9090   0.0210
56302.4871   -6.9090   0.0210
