# mjd   U   error
54535.4934   -7.2370   0.0189
54536.5103   -7.2370   0.0189
54538.4515   -7.2370   0.0189
54590.2764   -7.2370   0.0189
54591.4002   -7.2370   0.0189
54912.3855   -7.2370   0.0189
55536.4987   -7.2370   0.0189
55927.5198   -7.2370   0.0189
56008.3358   -7.2370   0.0189
56009.3251   -7.2370   0.0189
56090.3659   -7.2370   0.0189
56302.4952   -7.2370   0.0189
