# mjd   R   error
54533.4856   19.2918   0.0638
54534.4999   19.2958   0.0638
54535.4913   19.2951   0.0638
54536.5081   19.2978   0.0638
54538.4492   19.2947   0.0638
54590.2743   19.2950   0.0638
54591.3981   19.3013   0.0638
54912.3754   19.2843   0.0638
55536.4967   19.3204   0.0638
55927.5174   19.3084   0.0638
56008.3324   19.3009   0.0638
56009.3226   19.3052   0.0638
56090.3631   19.2957   0.0638
56302.4929   19.2670   0.0638
