# mjd   V   error
54533.4942   -6.9600   0.0881
54534.5086   -6.9600   0.0881
54535.4995   -6.9600   0.0881
54536.5101   -6.9600   0.0881
54590.2825   -6.9600   0.0881
54591.4063   -6.9600   0.0881
54912.3916   -6.9600   0.0881
55536.5046   -6.9600   0.0881
55927.5258   -6.9600   0.0881
56008.3419   -6.9600   0.0881
56009.3311   -6.9600   0.0881
56090.3718   -6.9600   0.0881
56302.5012   -6.9600   0.0881
