# mjd   B   error
54533.4799   32.0967   57.1212
54534.4939   nan   nan
54535.4853   27.5161   0.0704
54536.5063   26.4869   0.0701
54538.4432   nan   nan
54590.2682   26.6045   0.4654
54591.3921   nan   nan
54912.3686   nan   nan
55536.4909   nan   nan
55927.5119   28.9164   0.0734
56008.3278   nan   nan
56009.3172   nan   nan
56090.3578   nan   nan
56302.4871   nan   nan
