# mjd   B   error
54533.4799   -8.2950   0.0819
54534.4939   -8.2950   0.0819
54535.4853   -8.2950   0.0819
54536.5063   -8.2950   0.0819
54538.4432   -8.2950   0.0819
54590.2682   -8.2950   0.0819
54591.3921   -8.2950   0.0819
54912.3686   -8.2950   0.0819
55536.4909   -8.2950   0.0819
55927.5119   -8.2950   0.0819
56008.3278   -8.2950   0.0819
56009.3172   -8.2950   0.0819
56090.3578   -8.2950   0.0819
56302.4871   -8.2950   0.0819
