# mjd   R   error
54533.4856   -8.9970   0.0473
54534.4999   -8.9970   0.0473
54535.4932   -8.9970   0.0473
54536.5081   -8.9970   0.0473
54538.4492   -8.9970   0.0473
54590.2743   -8.9970   0.0473
54591.3981   -8.9970   0.0473
54912.3754   -8.9970   0.0473
55536.4967   -8.9970   0.0473
55927.5174   -8.9970   0.0473
56008.3324   -8.9970   0.0473
56009.3226   -8.9970   0.0473
56090.3631   -8.9970   0.0473
56302.4929   -8.9970   0.0473
