# mjd   V   error
54533.4942   -8.3580   0.0276
54534.5086   -8.3580   0.0276
54535.4995   -8.3580   0.0276
54536.5101   -8.3580   0.0276
54590.2825   -8.3580   0.0276
54591.4063   -8.3580   0.0276
54912.3916   -8.3580   0.0276
55536.5046   -8.3580   0.0276
55927.5258   -8.3580   0.0276
56008.3419   -8.3580   0.0276
56009.3311   -8.3580   0.0276
56090.3718   -8.3580   0.0276
56302.5012   -8.3580   0.0276
