# mjd   V   error
54533.4942   -8.2440   0.0136
54534.5086   -8.2440   0.0136
54535.4995   -8.2440   0.0136
54536.5101   -8.2440   0.0136
54590.2825   -8.2440   0.0136
54591.4063   -8.2440   0.0136
54912.3916   -8.2440   0.0136
55536.5046   -8.2440   0.0136
55927.5258   -8.2440   0.0136
56008.3419   -8.2440   0.0136
56009.3311   -8.2440   0.0136
56090.3718   -8.2440   0.0136
56302.5012   -8.2440   0.0136
