# mjd   V   error
54533.4942   20.5943   0.0391
54534.5086   20.6081   0.0391
54535.4995   20.5844   0.0391
54536.5101   20.6019   0.0391
54590.2825   20.6186   0.0391
54591.4063   20.6282   0.0391
54912.3916   20.4838   0.0391
55536.5046   20.4671   0.0391
55927.5258   20.2172   0.0391
56008.3419   20.1909   0.0391
56009.3311   20.1889   0.0391
56090.3718   20.2286   0.0391
56302.5012   20.2488   0.0391
