# mjd   R   error
54534.4999   -8.8750   0.0125
54535.4893   -8.8750   0.0125
54536.5109   -8.8750   0.0125
54538.4492   -8.8750   0.0125
54590.2743   -8.8750   0.0125
54591.3981   -8.8750   0.0125
54912.3754   -8.8750   0.0125
55536.4967   -8.8750   0.0125
55927.5174   -8.8750   0.0125
56008.3324   -8.8750   0.0125
56009.3226   -8.8750   0.0125
56090.3631   -8.8750   0.0125
56302.4929   -8.8750   0.0125
