# mjd   R   error
54533.4856   -8.9110   0.0113
54534.4999   -8.9110   0.0113
54535.4932   -8.9110   0.0113
54536.5081   -8.9110   0.0113
54538.4492   -8.9110   0.0113
54590.2743   -8.9110   0.0113
54591.3981   -8.9110   0.0113
54912.3754   -8.9110   0.0113
55536.4967   -8.9110   0.0113
55927.5174   -8.9110   0.0113
56008.3324   -8.9110   0.0113
56009.3226   -8.9110   0.0113
56090.3631   -8.9110   0.0113
56302.4929   -8.9110   0.0113
