# mjd   R   error
54533.4856   -8.5560   0.0734
54534.4999   -8.5560   0.0734
54535.4913   -8.5560   0.0734
54536.5081   -8.5560   0.0734
54538.4492   -8.5560   0.0734
54590.2743   -8.5560   0.0734
54591.3981   -8.5560   0.0734
54912.3754   -8.5560   0.0734
55536.4967   -8.5560   0.0734
55927.5174   -8.5560   0.0734
56008.3324   -8.5560   0.0734
56009.3226   -8.5560   0.0734
56090.3631   -8.5560   0.0734
56302.4929   -8.5560   0.0734
