# mjd   B   error
54533.4799   -6.7660   0.0850
54534.4939   -6.7660   0.0850
54535.4853   -6.7660   0.0850
54536.5063   -6.7660   0.0850
54538.4432   -6.7660   0.0850
54590.2682   -6.7660   0.0850
54591.3921   -6.7660   0.0850
54912.3686   -6.7660   0.0850
55536.4909   -6.7660   0.0850
55927.5119   -6.7660   0.0850
56008.3278   -6.7660   0.0850
56009.3172   -6.7660   0.0850
56090.3578   -6.7660   0.0850
56302.4871   -6.7660   0.0850
