# mjd   B   error
54533.4799   -8.7800   0.0723
54534.4939   -8.7800   0.0723
54535.4853   -8.7800   0.0723
54536.5063   -8.7800   0.0723
54538.4432   -8.7800   0.0723
54590.2682   -8.7800   0.0723
54591.3921   -8.7800   0.0723
54912.3686   -8.7800   0.0723
55536.4909   -8.7800   0.0723
55927.5119   -8.7800   0.0723
56008.3278   -8.7800   0.0723
56009.3172   -8.7800   0.0723
56090.3578   -8.7800   0.0723
56302.4871   -8.7800   0.0723
