# mjd   V   error
54533.4942   -9.0570   0.0288
54534.5086   -9.0570   0.0288
54535.4995   -9.0570   0.0288
54536.5101   -9.0570   0.0288
54590.2825   -9.0570   0.0288
54591.4063   -9.0570   0.0288
54912.3916   -9.0570   0.0288
55536.5046   -9.0570   0.0288
55927.5258   -9.0570   0.0288
56008.3419   -9.0570   0.0288
56009.3311   -9.0570   0.0288
56090.3718   -9.0570   0.0288
56302.5012   -9.0570   0.0288
