# mjd   R   error
54533.4856   -9.5300   0.0421
54534.4999   -9.5300   0.0421
54535.4913   -9.5300   0.0421
54536.5081   -9.5300   0.0421
54538.4492   -9.5300   0.0421
54590.2743   -9.5300   0.0421
54591.3981   -9.5300   0.0421
54912.3754   -9.5300   0.0421
55536.4967   -9.5300   0.0421
55927.5174   -9.5300   0.0421
56008.3324   -9.5300   0.0421
56009.3226   -9.5300   0.0421
56090.3631   -9.5300   0.0421
56302.4929   -9.5300   0.0421
