# mjd   R   error
54534.4999   -8.3210   0.0202
54535.4893   -8.3210   0.0202
54536.5109   -8.3210   0.0202
54538.4492   -8.3210   0.0202
54590.2743   -8.3210   0.0202
54591.3981   -8.3210   0.0202
54912.3754   -8.3210   0.0202
55536.4967   -8.3210   0.0202
55927.5174   -8.3210   0.0202
56008.3324   -8.3210   0.0202
56009.3226   -8.3210   0.0202
56090.3631   -8.3210   0.0202
56302.4929   -8.3210   0.0202
