# mjd   V   error
54533.4942   19.4571   0.0309
54534.5086   19.4594   0.0309
54535.4995   19.4615   0.0309
54536.5101   19.4679   0.0309
54590.2825   19.4673   0.0309
54591.4063   19.4704   0.0309
54912.3916   19.4650   0.0309
55536.5046   19.4893   0.0309
55927.5258   19.4693   0.0309
56008.3419   19.4567   0.0309
56009.3311   19.4613   0.0309
56090.3718   19.4624   0.0309
56302.5012   19.4439   0.0309
