# mjd   R   error
54533.4856   -9.2390   0.0125
54534.4999   -9.2390   0.0125
54535.4932   -9.2390   0.0125
54536.5081   -9.2390   0.0125
54538.4492   -9.2390   0.0125
54590.2743   -9.2390   0.0125
54591.3981   -9.2390   0.0125
54912.3754   -9.2390   0.0125
55536.4967   -9.2390   0.0125
55927.5174   -9.2390   0.0125
56008.3324   -9.2390   0.0125
56009.3226   -9.2390   0.0125
56090.3631   -9.2390   0.0125
56302.4929   -9.2390   0.0125
