# mjd   U   error
54533.4860   -10.1140   0.0364
54534.5022   -10.1140   0.0364
54535.4934   -10.1140   0.0364
54536.5103   -10.1140   0.0364
54538.4515   -10.1140   0.0364
54590.2764   -10.1140   0.0364
54591.4002   -10.1140   0.0364
54912.3855   -10.1140   0.0364
55536.4987   -10.1140   0.0364
55927.5198   -10.1140   0.0364
56008.3358   -10.1140   0.0364
56009.3251   -10.1140   0.0364
56090.3659   -10.1140   0.0364
56302.4952   -10.1140   0.0364
