# mjd   R   error
54533.4856   20.3096   0.0478
54534.4999   20.3356   0.0479
54535.4913   20.3144   0.0479
54536.5081   20.3178   0.0479
54538.4492   20.3324   0.0479
54590.2743   20.3094   0.0478
54591.3981   20.3485   0.0479
54912.3754   20.2078   0.0479
55536.4967   20.1683   0.0479
55927.5174   19.9401   0.0478
56008.3324   19.9354   0.0478
56009.3226   19.9151   0.0478
56090.3631   19.9516   0.0478
56302.4929   19.9495   0.0478
