# mjd   U   error
54533.4860   -6.9780   0.0316
54534.5022   -6.9780   0.0316
54535.4934   -6.9780   0.0316
54536.5103   -6.9780   0.0316
54538.4515   -6.9780   0.0316
54590.2764   -6.9780   0.0316
54591.4002   -6.9780   0.0316
54912.3855   -6.9780   0.0316
55536.4987   -6.9780   0.0316
55927.5198   -6.9780   0.0316
56008.3358   -6.9780   0.0316
56009.3251   -6.9780   0.0316
56090.3659   -6.9780   0.0316
56302.4952   -6.9780   0.0316
