# mjd   R   error
54533.4856   -7.2590   0.0394
54534.4999   -7.2590   0.0394
54535.4913   -7.2590   0.0394
54536.5081   -7.2590   0.0394
54538.4492   -7.2590   0.0394
54590.2743   -7.2590   0.0394
54591.3981   -7.2590   0.0394
54912.3754   -7.2590   0.0394
55536.4967   -7.2590   0.0394
55927.5174   -7.2590   0.0394
56008.3324   -7.2590   0.0394
56009.3226   -7.2590   0.0394
56090.3631   -7.2590   0.0394
56302.4929   -7.2590   0.0394
