# mjd   B   error
54533.4799   -10.1040   0.0638
54534.4939   -10.1040   0.0638
54535.4873   -10.1040   0.0638
54536.5063   -10.1040   0.0638
54538.4452   -10.1040   0.0638
54590.2682   -10.1040   0.0638
54591.3921   -10.1040   0.0638
54912.3796   -10.1040   0.0638
55536.4909   -10.1040   0.0638
55927.5119   -10.1040   0.0638
56008.3278   -10.1040   0.0638
56009.3172   -10.1040   0.0638
56090.3578   -10.1040   0.0638
56302.4871   -10.1040   0.0638
